created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-04-15T20:11:33-04:00,1,22,23,N,,,,
2023-04-15T20:12:14-04:00,2,23,39,N,,,,
2023-04-15T20:12:43-04:00,3,24,27,N,,,,
2023-04-15T20:13:26-04:00,4,25,40,N,,,,
2023-04-15T20:13:59-04:00,5,26,30,N,,,,
2023-04-15T20:14:40-04:00,6,27,39,N,,,,
2023-04-15T20:15:07-04:00,7,28,24,N,,,,
2023-04-15T20:15:54-04:00,8,29,44,N,,,,
2023-04-15T20:16:19-04:00,9,30,23,N,,,,
2023-04-15T20:17:05-04:00,10,31,44,N,,,,
2023-04-15T20:17:32-04:00,11,32,25,N,,,,
2023-04-15T20:18:28-04:00,12,33,53,N,,,,
2023-04-15T20:18:59-04:00,13,34,29,N,,,,
2023-04-15T20:19:44-04:00,14,35,43,N,,,,
2023-04-15T20:20:11-04:00,15,36,24,N,,,,
2023-04-15T20:20:52-04:00,16,37,38,N,,,,
2023-04-15T20:21:17-04:00,17,38,23,N,,,,
2023-04-15T20:22:07-04:00,18,39,45,N,,,,
2023-04-15T20:22:33-04:00,19,40,24,N,,,,
2023-04-15T20:23:17-04:00,20,41,41,N,,,,
2023-04-15T20:23:42-04:00,21,42,23,N,,,,
2023-04-15T20:24:27-04:00,22,43,42,N,,,,
2023-04-15T20:24:54-04:00,23,44,25,N,,,,
2023-04-15T20:25:42-04:00,24,45,45,N,,,,
2023-04-15T20:26:07-04:00,25,46,23,N,,,,
2023-04-15T20:26:49-04:00,26,47,39,N,,,,
2023-04-15T20:27:17-04:00,27,48,26,N,,,,
2023-04-15T20:28:25-04:00,28,1,66,N,,,,
2023-04-15T20:28:50-04:00,29,2,23,N,,,,
2023-04-15T20:29:32-04:00,30,3,39,N,,,,
2023-04-15T20:29:57-04:00,31,4,23,N,,,,
2023-04-15T20:30:45-04:00,32,5,45,N,,,,
2023-04-15T20:31:15-04:00,33,6,28,N,,,,
2023-04-15T20:31:58-04:00,34,7,40,N,,,,
2023-04-15T20:32:23-04:00,35,8,23,N,,,,
2023-04-15T20:33:07-04:00,36,9,42,N,,,,
2023-04-15T20:33:35-04:00,37,10,26,N,,,,
